ip,classification,risk_recommended_pulsedive,abuseipdb_confidence_score,abuseipdb_total_reports,abuseipdb_num_distinct_users,abuseipdb_recent_reports_count,apivoid_risk_score,apivoid_blacklists_engines_count,apivoid_blacklists_detections,apivoid_blacklists_detection_rate,virustotal_reputation,virustotal_harmless,virustotal_malicious,virustotal_suspicious,virustotal_undetected
101.126.5.109,denylist,0.6000000000000001,1.0,0.007200000000000001,0.157,3.0,1.0,82.0,17.0,0.21,0.17485549132947975,0.5684210526315789,0.09473684210526316,0.021052631578947368,0.3157894736842105
101.126.54.36,denylist,0.6000000000000001,1.0,0.02223529411764706,0.255,3.0,1.0,82.0,14.0,0.17,0.17630057803468205,0.5894736842105263,0.06315789473684211,0.031578947368421054,0.3157894736842105
101.126.55.179,denylist,0.6000000000000001,1.0,0.0176,0.232,3.0,1.0,82.0,13.0,0.16,0.17485549132947975,0.631578947368421,0.031578947368421054,0.010526315789473684,0.3263157894736842
101.126.55.67,denylist,0.6000000000000001,1.0,0.0012588235294117647,0.0395,3.0,1.0,82.0,11.0,0.13,0.17774566473988437,0.5578947368421052,0.08421052631578947,0.031578947368421054,0.3263157894736842
101.126.6.108,denylist,0.6000000000000001,0.02,2.3529411764705884e-05,0.001,2.0,1.0,82.0,6.0,0.07,0.17774566473988437,0.6,0.042105263157894736,0.010526315789473684,0.34736842105263155
101.126.66.223,denylist,0.6000000000000001,1.0,0.031976470588235294,0.3315,3.0,1.0,82.0,15.0,0.18,0.17919075144508667,0.5894736842105263,0.06315789473684211,0.031578947368421054,0.3157894736842105
101.126.68.11,denylist,0.6000000000000001,1.0,0.027988235294117647,0.28800000000000003,3.0,1.0,82.0,15.0,0.18,0.17774566473988437,0.5894736842105263,0.06315789473684211,0.031578947368421054,0.3157894736842105
101.126.69.223,denylist,0.6000000000000001,0.11,7.058823529411765e-05,0.002,3.0,0.9,82.0,4.0,0.05,0.17630057803468205,0.6,0.042105263157894736,0.0,0.35789473684210527
101.126.70.177,denylist,0.6000000000000001,1.0,0.02135294117647059,0.2455,3.0,1.0,82.0,15.0,0.18,0.17774566473988437,0.6105263157894737,0.042105263157894736,0.031578947368421054,0.3157894736842105
101.126.80.124,denylist,0.6000000000000001,0.09,5.882352941176471e-05,0.0015,3.0,0.9,82.0,4.0,0.05,0.17919075144508667,0.6105263157894737,0.042105263157894736,0.010526315789473684,0.3368421052631579
101.126.88.203,denylist,0.6000000000000001,1.0,0.024800000000000003,0.267,3.0,1.0,82.0,15.0,0.18,0.17774566473988437,0.6,0.042105263157894736,0.031578947368421054,0.3263157894736842
101.126.88.245,denylist,0.6000000000000001,1.0,0.024282352941176474,0.2755,3.0,1.0,82.0,15.0,0.18,0.17630057803468205,0.6,0.042105263157894736,0.031578947368421054,0.3263157894736842
101.126.88.79,denylist,0.6000000000000001,1.0,0.007682352941176471,0.1335,3.0,1.0,82.0,11.0,0.13,0.17630057803468205,0.5789473684210527,0.06315789473684211,0.031578947368421054,0.3263157894736842
